",""id"",""danceability"",""energy"",""key"",""loudness"",""mode"",""speechiness"",""acousticness"",""instrumentalness"",""liveness"",""valence"",""tempo"",""duration_ms"",""time_signature"",""Yil"",""Eurovision"""
"1,""40cm17cgW3Ffkr2SmHNMeb"",0.542,0.533,5,-7.136,1,0.0323,0.361,0,0.124,0.225,88.042,179996,4,2018,Eurovision 2018"
"2,""0UQdKxpo7uRHUs7IDuW0Nl"",0.804,0.752,3,-5.829,1,0.0514,0.262,0,0.221,0.587,124.007,181627,4,2017,Eurovision 2017"
"3,""2cfOJEps2LXYNQgbAwM3bR"",0.647,0.624,4,-5.335,0,0.0367,0.516,0,0.165,0.461,142.999,180000,4,2016,Eurovision 2016"
"4,""4ciaNqHWA2IzHphZaVRzHI"",0.484,0.791,7,-4.27,1,0.0437,0.0743,0,0.0491,0.369,124.008,190613,4,2015,Eurovision 2015"
"5,""0tBUd6UyIMfV29IdD1sEpT"",0.554,0.868,9,-3.875,1,0.0378,0.0184,0,0.18,0.346,135.076,183147,4,2014,Eurovision 2014"
"6,""5QLqrMhJSM4GZaR1CX13Wo"",0.563,0.834,9,-4.686,0,0.0607,0.0951,0,0.254,0.44,110.978,182893,4,2013,Eurovision 2013"
"7,""3TWK8lq7oFPaKD1YkR1zdO"",0.547,0.758,11,-4.74,0,0.0419,0.139,2.63e-05,0.292,0.444,132.036,179693,4,2012,Eurovision 2012"
"8,""6nA43LwkBmljzdIs1GKZ8x"",0.325,0.702,0,-3.557,1,0.0327,0.0238,2.72e-06,0.36,0.239,172.041,181577,4,2011,Eurovision 2011"
"9,""6V3OVnS8A0P2I7j5e7YRBb"",0.68,0.857,11,-4.591,0,0.238,0.204,0,0.0414,0.924,94.928,175507,4,2010,Eurovision 2010"
"10,""37lYrZzmbRiEySPGkiGjXA"",0.573,0.785,2,-5.362,0,0.0293,0.619,3.69e-05,0.278,0.688,108.003,182600,4,2009,Eurovision 2009"
"11,""74GKl02NO20G4kfan0r1cr"",0.406,0.744,1,-3.206,0,0.0339,0.412,0,0.312,0.55,183.902,185933,4,2008,Eurovision 2008"
"12,""1Zu1blVWpnt5Gx9r5byBIE"",0.332,0.527,2,-6.788,0,0.0452,0.714,0,0.249,0.367,77.312,182640,4,2007,Eurovision 2007"
"13,""7sZTvm0Sx8umbyQViTE2Qc"",0.557,0.947,3,-3.733,1,0.0528,0.000232,0.0503,0.134,0.559,123.028,247200,4,2006,Eurovision 2006"
"14,""6LkCvCc9oFoLDv4DLhzTox"",0.775,0.744,6,-5.687,0,0.0366,0.197,7.99e-05,0.0261,0.963,112.993,175067,4,2005,Eurovision 2005"
"15,""1Lav2Z3RKu71MJLIjQz4dQ"",0.649,0.919,0,-3.778,1,0.0768,0.174,3.64e-06,0.0519,0.684,171.991,183200,4,2004,Eurovision 2004"
"16,""588wm4NEtOiTHT2N58enQ6"",0.661,0.895,7,-3.779,1,0.0481,0.0347,7.08e-05,0.213,0.711,94.989,167227,4,2003,Eurovision 2003"
"17,""6dL3zHA0LtVU4R2YKFxTtM"",0.72,0.743,5,-3.684,1,0.0286,0.415,0,0.115,0.491,104.978,183587,4,2002,Eurovison 2002"
"18,""2byZAXWOqDx3w8suK3btui"",0.572,0.95,11,-3.784,0,0.042,0.059,0.000225,0.195,0.798,124.017,177213,4,2001,Eurovision 2001"
"19,""4v2RaPHSsTvNkggw3RqyeT"",0.745,0.839,2,-5.405,1,0.0532,0.271,1.89e-05,0.0985,0.807,104.023,185067,4,2000,Eurovision 2000"