"""id"",""danceability"",""energy"",""key"",""loudness"",""mode"",""speechiness"",""acousticness"",""instrumentalness"",""liveness"",""valence"",""tempo"",""duration_ms"",""time_signature"",""Y€±l"",""Enerjisi"""
"508,""1YuXoPqkTQOXpFJtjf5GWd"",0.581,0.836,8,-4.644,0,0.0705,0.0265,0,0.446,0.486,135.054,182000,4,2006,""Energic"""
"509,""1R91wGRG9HMByj9OtfJAct"",0.568,0.863,9,-5.572,0,0.079,0.431,0,0.133,0.504,111.922,190320,4,2006,""Energic"""
"510,""4S7b53XvawjU92SBSTk00J"",0.609,0.916,9,-5.851,1,0.115,0.0617,1.64e-06,0.326,0.761,166.842,181267,4,2006,""High Energic"""
"511,""1TECSsjRPx1JplI5tYeOYZ"",0.519,0.766,9,-5.579,0,0.0424,0.26,0,0.235,0.568,100.012,174480,4,2006,""Energic"""
"512,""77MeY3BqpJiGMJevRVbXyJ"",0.696,0.895,0,-6.18,1,0.0636,0.00101,0.00102,0.206,0.881,127.022,150893,4,2006,""High Energic"""
"513,""3luSsvi9x8if7mkaEBzbSx"",0.313,0.35,7,-7.969,1,0.0312,0.747,0,0.0938,0.326,134.257,178920,4,2006,""Low Enerjic"""
"514,""5WXuKEPsmMApyaR5R9hMC0"",0.631,0.485,0,-8.651,0,0.0353,0.484,0,0.103,0.334,99.964,177827,4,2006,""Low Enerjic"""
"515,""2WjRvhjkJvO6rcD6x6dmEa"",0.644,0.917,7,-5.593,1,0.0901,0.284,0,0.285,0.49,90.02,183440,4,2006,""High Energic"""
"516,""7cDykiXempPoLcBPlemtzh"",0.485,0.449,7,-7.975,1,0.0312,0.142,0,0.124,0.267,139.869,179453,4,2006,""Low Enerjic"""
"517,""4JfQOL4oBDNOsIzO3DIxlf"",0.35,0.713,0,-5.299,1,0.0309,0.349,0,0.12,0.569,89.746,185640,4,2006,""Low Enerjic"""
"518,""12gL6zYMPCjG5jJ9RAUCc5"",0.698,0.357,6,-11.211,0,0.332,0.534,0,0.0912,0.248,80.099,180813,4,2006,""Low Enerjic"""
"519,""3rUVWGOLdqahjesuG87meO"",0.735,0.886,9,-5.956,1,0.0618,0.0494,8.38e-06,0.0543,0.898,119.96,179960,4,2006,""High Energic"""
"520,""6vX3d1JnS64beV10BkIuN9"",0.835,0.734,7,-4.496,1,0.149,0.104,0,0.096,0.535,93.014,178987,4,2006,""Low Enerjic"""
"521,""3zLej3pTZHxko5Cd01CE0v"",0.348,0.671,7,-5.551,0,0.0314,0.328,0.000109,0.178,0.438,172.157,175427,4,2006,""Low Enerjic"""
"522,""0fsGK7AwxpKdVAT8aUWFkq"",0.659,0.854,10,-5.742,1,0.0636,0.0223,0.00175,0.135,0.668,106.017,178853,4,2006,""Energic"""
"523,""1qLjpkomuvewJY6xytGX1e"",0.662,0.849,11,-6.578,1,0.153,0.206,0,0.346,0.831,147.999,178600,4,2006,""Energic"""
"524,""7pkzUWWgarIGK66wBZTokd"",0.486,0.928,7,-4.794,0,0.118,0.241,0,0.349,0.507,170.116,180253,4,2006,""High Energic"""
"525,""37fDrUb13a8BUBB694cjn5"",0.769,0.756,6,-7.124,0,0.0373,0.0725,0,0.173,0.833,130.04,181307,4,2006,""Low Enerjic"""
"526,""1A1xn3QcMYTuMLRrewXBnD"",0.804,0.841,4,-3.801,0,0.177,0.0686,0,0.0675,0.82,129.993,175040,4,2006,""Energic"""
"527,""1eHcKXE7XiZRLald0QvCmZ"",0.354,0.928,4,-4.268,1,0.0749,0.0346,0,0.123,0.613,199.913,178973,4,2006,""High Energic"""
"528,""5E3hhyQOgGk4ubKet5ZmYO"",0.517,0.72,9,-6.209,0,0.0444,0.194,0.002,0.0702,0.487,141.999,182200,4,2006,""Low Enerjic"""
"529,""5lx726njQX3jViXrHVuMwj"",0.375,0.512,7,-7.79,0,0.0331,0.288,0.00162,0.103,0.212,172.212,217617,4,2006,""Low Enerjic"""
"530,""6LkCvCc9oFoLDv4DLhzTox"",0.775,0.744,6,-5.687,0,0.0366,0.197,7.99e-05,0.0261,0.963,112.993,175067,4,2005,""Low Enerjic"""
"531,""40wvKWTMSq9KDJwV0hntn1"",0.753,0.529,0,-6.122,1,0.0262,0.405,0,0.143,0.392,105,177360,4,2005,""Low Enerjic"""
"532,""2FqqlQoEUll407CoNlIQih"",0.537,0.659,5,-5.716,0,0.0318,0.383,0,0.104,0.477,150.044,181347,4,2005,""Low Enerjic"""
"533,""4rqqHVbVuCJjiR6uyz9izw"",0.396,0.893,2,-4.661,1,0.0591,0.0301,0,0.101,0.967,174.143,183520,4,2005,""High Energic"""
"534,""0zOVfyrwPS7FY7REBQDlvD"",0.619,0.676,2,-6.321,1,0.0542,0.279,0,0.0682,0.425,127.027,182147,4,2005,""Low Enerjic"""
"535,""3mo7Bshd0l134VBaaVgVb3"",0.456,0.806,4,-3.971,0,0.0404,0.0224,0,0.218,0.505,126.082,181493,4,2005,""Energic"""
"536,""4zxDqiBkTsikSLVi07ePRW"",0.498,0.722,0,-5.105,1,0.0666,0.271,0,0.229,0.676,174.219,183800,4,2005,""Low Enerjic"""
"537,""0vJbCYucnvVc32FfSXQDFt"",0.509,0.778,2,-6.213,0,0.0817,0.181,3.38e-05,0.805,0.497,159.872,181551,3,2005,""Energic"""
"538,""2OqXcf9hiYrOZ9XVYgGZu2"",0.666,0.783,9,-6.441,1,0.0408,0.364,7.28e-06,0.0294,0.572,140.097,206840,4,2005,""Energic"""
"539,""0yFmSeN9cftzc9bGC1ETG5"",0.531,0.823,2,-6.362,0,0.0386,6.84e-05,0.000189,0.261,0.39,112.98,199707,4,2005,""Energic"""
"540,""5mCtaaCt7W8q23wYTtGiUs"",0.759,0.781,11,-4.933,1,0.0606,0.112,1.95e-06,0.188,0.617,120.008,190213,4,2005,""Energic"""
"541,""46P3Hgp98JG5t3sszNDaGu"",0.503,0.67,3,-5.771,0,0.0597,0.0165,0,0.361,0.66,149.844,193490,4,2005,""Low Enerjic"""
"542,""2i9sifNgtQ4gF2NbBpPhTy"",0.756,0.913,7,-5.168,1,0.061,0.125,0.00636,0.312,0.857,102.028,173240,4,2005,""High Energic"""
"543,""0wtKPoPtMDA5uBv6B3hsBW"",0.431,0.772,4,-6.484,1,0.0632,0.0824,0,0.106,0.439,155.776,238701,4,2005,""Energic"""
"544,""0rF19Oi6J2kGK7IxSprIx1"",0.769,0.931,1,-5.943,1,0.104,0.0235,0.324,0.349,0.845,125.015,230000,4,2005,""High Energic"""
"545,""3JHiig0n7BYHfgetGexOKm"",0.684,0.961,10,-3.878,0,0.0559,0.0132,0.000194,0.433,0.875,116.038,180280,4,2005,""High Energic"""
"546,""0JRZJwg4lkdlv1CuqGAaFW"",0.563,0.572,3,-6.17,0,0.0246,0.158,0,0.128,0.309,143.932,180320,4,2005,""Low Enerjic"""
"547,""54Dj26oMKU1DL7uKOMILZA"",0.451,0.584,3,-6.256,1,0.0332,0.343,0,0.148,0.287,135.838,166266,4,2005,""Low Enerjic"""
"548,""08QZvR2PoT6ytkkmkgPFdh"",0.663,0.915,2,-7.461,1,0.0625,0.0206,0.000828,0.115,0.922,176.058,170800,4,2005,""High Energic"""
"549,""5ZbT6pB7TvG2BFZ59dRtDs"",0.351,0.445,3,-7.793,1,0.0309,0.464,0,0.149,0.256,79.724,182320,4,2005,""Low Enerjic"""
"550,""5lwx2pOeIjms1DDXJekcTZ"",0.583,0.603,8,-6.037,0,0.0583,0.104,0,0.22,0.366,75.008,182613,4,2005,""Low Enerjic"""
"551,""439X8Ol70ZIvKd0yWu3byx"",0.563,0.614,0,-5.409,1,0.0603,0.537,0,0.2,0.46,147.888,187747,4,2005,""Low Enerjic"""
"552,""5MCrjKjngjvbI83Df6hjkz"",0.622,0.698,7,-17.277,1,0.0565,0.000979,0.445,0.292,0.181,120.014,165040,4,2005,""Low Enerjic"""
"553,""2oSsrTivauS9o3nkauX8v5"",0.795,0.931,7,-4.62,1,0.162,0.349,2.91e-06,0.0521,0.933,180.152,159293,4,2005,""High Energic"""
"554,""2pfOxpgOUDd8GFoqRP2zuz"",0.491,0.737,7,-6.129,1,0.0449,0.307,0,0.0664,0.416,100.024,255973,4,2005,""Low Enerjic"""
"555,""0KmZ3y3mSEc9DqlVdjJWqr"",0.679,0.8,7,-5.481,1,0.0553,0.685,0.000488,0.805,0.94,121.446,180120,4,2005,""Energic"""
"556,""1Lav2Z3RKu71MJLIjQz4dQ"",0.649,0.919,0,-3.778,1,0.0768,0.174,3.64e-06,0.0519,0.684,171.991,183200,4,2004,""High Energic"""
"557,""2Lr5JHxuRoNeDe4OGvs6HM"",0.556,0.841,1,-5.562,0,0.0297,0.374,0.000267,0.36,0.57,101.03,181987,4,2004,""Energic"""
"558,""5RrXg6BoujSLhC4UHYdtm6"",0.722,0.912,11,-5.045,0,0.0437,0.0379,0.00238,0.119,0.581,113.02,181627,4,2004,""High Energic"""
"559,""2aeVGqdsF7WbKZkwhcCeqm"",0.662,0.977,11,-2.934,1,0.0307,0.00306,0.000868,0.101,0.789,127.006,181640,4,2004,""High Energic"""
"560,""2ni9j4w6gP995twbhRBtML"",0.736,0.337,9,-10.172,1,0.0335,0.721,0,0.118,0.522,98.05,180827,4,2004,""Low Enerjic"""
"561,""14Q7wl2755cbjV36G2ByIw"",0.703,0.874,5,-4.251,0,0.0592,0.233,0,0.311,0.666,124.965,185467,4,2004,""High Energic"""
"562,""2wdhxJI8rvKq1VCRZsiEuA"",0.762,0.753,1,-7.71,1,0.0412,0.00209,0.000284,0.0879,0.635,134.019,174960,4,2004,""Low Enerjic"""
"563,""6E3yFf67r2IXQGRSORtVpw"",0.569,0.552,2,-5.445,1,0.0246,0.508,0,0.202,0.334,141.053,186907,4,2004,""Low Enerjic"""
"564,""1B2RXsTj0qe6VI84M9XGaT"",0.64,0.791,0,-5.667,1,0.0374,0.00926,0,0.293,0.578,100.011,174880,4,2004,""Energic"""
"565,""6J5tuBQIenXHMHDIbeVAya"",0.477,0.498,11,-7.952,1,0.0307,0.641,1.28e-06,0.168,0.361,147.988,184960,4,2004,""Low Enerjic"""
"566,""28EIkUG3CBpIRDQh285jKP"",0.496,0.481,0,-10.431,1,0.0277,0.144,0,0.111,0.237,125.944,186133,4,2004,""Low Enerjic"""
"567,""5lhgBlBC6w2dqO1PlrsbKk"",0.706,0.368,7,-11.067,1,0.032,0.292,0,0.201,0.143,124.953,175707,3,2004,""Low Enerjic"""
"568,""1VXPZY06eBMoH1p7l8VoLA"",0.736,0.943,9,-6.649,0,0.13,0.206,0,0.301,0.748,102.005,179061,4,2004,""High Energic"""
"569,""5T7vwco5GTNHA4HRvneoqe"",0.716,0.938,9,-3.202,0,0.0865,0.156,0,0.058,0.731,136.041,183533,1,2004,""High Energic"""
"570,""67M9GPx6rvTO6zjrzVhEzr"",0.525,0.713,1,-8.787,1,0.0282,0.00175,0,0.116,0.315,93.714,185533,4,2004,""Low Enerjic"""
"571,""2cO3XBxaKgOZPsHjB31M1T"",0.721,0.931,9,-3.2,0,0.097,0.16,0,0.127,0.769,136.029,181733,1,2004,""High Energic"""
"572,""32ChLaXKTvGtbSIlkrpnqO"",0.598,0.493,8,-8.755,0,0.0295,0.65,0.000616,0.107,0.494,106.988,184000,4,2004,""Low Enerjic"""
"573,""4aVaQQ0zlVvh5AzdYnAacF"",0.687,0.911,6,-3.366,1,0.0286,0.122,0,0.0615,0.772,131.96,179787,4,2004,""High Energic"""
"574,""13DRVxbZAKSarXkQV2rRoO"",0.69,0.664,1,-5.819,1,0.0461,0.388,0.000646,0.103,0.619,122.994,265087,4,2004,""Low Enerjic"""
"575,""2jOg1fkAoJv56YTsidJNoA"",0.552,0.679,1,-4.928,0,0.0337,0.334,0.00168,0.142,0.364,100.983,184267,4,2004,""Low Enerjic"""
"576,""45OEMWZLAVLG8wx8xM0Das"",0.736,0.943,9,-6.649,0,0.13,0.206,0,0.301,0.748,102.005,179061,4,2004,""High Energic"""
"577,""588wm4NEtOiTHT2N58enQ6"",0.661,0.895,7,-3.779,1,0.0481,0.0347,7.08e-05,0.213,0.711,94.989,167227,4,2003,""High Energic"""
"578,""4bLFbrYVDzDWPzxDZgtyM7"",0.66,0.805,10,-5.432,0,0.0323,0.0211,2.81e-05,0.4,0.613,136.027,182507,4,2003,""Energic"""
"579,""2uRPIoeF7oa42h1t7tgo7I"",0.57,0.91,2,-4.837,1,0.0512,0.0201,0,0.0955,0.578,132.032,182320,4,2003,""High Energic"""
"580,""0ZO6ZOgVzJyZbmauzo5HEK"",0.596,0.837,2,-5.923,1,0.0433,0.115,0,0.171,0.663,103.945,205173,4,2003,""Energic"""
"581,""37nGo7UKGrxVpIuViV9rBK"",0.509,0.855,4,-3.703,1,0.0407,0.0353,0,0.112,0.555,105.045,182040,4,2003,""Energic"""
"582,""3SPlqqbR5783uURm6KbgJe"",0.45,0.394,0,-7.422,1,0.0278,0.0908,0,0.167,0.225,137.487,185533,4,2003,""Low Enerjic"""
"583,""5I8ENb7zzrbYLwhGESY9CF"",0.648,0.837,0,-3.972,1,0.145,0.186,4.12e-06,0.0628,0.745,190.032,156933,4,2003,""Energic"""
"584,""3hXedzb7JJIYiyowOCxwJL"",0.512,0.534,5,-6.332,1,0.0283,0.123,0,0.106,0.333,125.974,217013,4,2003,""Low Enerjic"""
"585,""1WLE7xocaEz5l12K4NXJ7A"",0.81,0.78,3,-3.543,0,0.044,0.491,0,0.0464,0.842,94.999,172387,4,2003,""Energic"""
"586,""7Cf4bpnB164MgYLCPWd88h"",0.703,0.754,11,-7.536,0,0.04,0.00737,4.54e-05,0.347,0.602,130.009,180680,4,2003,""Low Enerjic"""
"587,""3H1LozYrpDih7m50AWDPIr"",0.542,0.679,0,-4.227,1,0.0306,0.0167,0,0.156,0.316,132.017,178467,4,2003,""Low Enerjic"""
"588,""7vN1yJFrOPTQ6rNvxyQnou"",0.546,0.894,4,-3.727,0,0.059,0.529,0,0.338,0.76,167.984,185973,4,2003,""High Energic"""
"589,""51jH4AHWMgDrmvMMIAJ09S"",0.709,0.919,5,-4.403,1,0.066,0.00807,0,0.165,0.832,137.988,179653,4,2003,""High Energic"""
"590,""4TCZdDDnqeFYrskdl0XS1t"",0.654,0.725,4,-5.786,1,0.0396,0.255,0,0.15,0.585,104.959,177240,4,2003,""Low Enerjic"""
"591,""4aVaQQ0zlVvh5AzdYnAacF"",0.687,0.911,6,-3.366,1,0.0286,0.122,0,0.0615,0.772,131.96,179787,4,2003,""High Energic"""
"592,""6dL3zHA0LtVU4R2YKFxTtM"",0.72,0.743,5,-3.684,1,0.0286,0.415,0,0.115,0.491,104.978,183587,4,002""""Low Enerjic"""
"593,""7uSeUTnMWH7CgEyl2rNtMC"",0.695,0.878,6,-4.378,1,0.0307,0.0552,1.53e-05,0.329,0.97,128.013,172667,4,002""""High Energic"""
"594,""70tFqMdkFXCPeirRaLAKKM"",0.669,0.814,7,-6.469,1,0.0496,0.0243,9.29e-05,0.214,0.899,144.043,181023,4,002""""Energic"""
"595,""5HVHf3Spy7jT5tMOqUti4p"",0.71,0.93,3,-5.537,0,0.0487,0.259,0,0.356,0.768,137.966,182307,4,002""""High Energic"""
"596,""7qoxVVsAHR9dk8H3yZdUMk"",0.764,0.841,9,-5.661,1,0.0351,0.0822,2.26e-06,0.385,0.796,134.98,171013,4,002""""Energic"""
"597,""5LdWdlyG5fEfSPORr4Y5Ai"",0.626,0.956,0,-5.267,0,0.0912,0.028,0,0.293,0.829,136.055,184403,4,002""""High Energic"""
"598,""2enzh6VXgVpChs2Z4p3dil"",0.796,0.896,2,-5.563,0,0.0624,0.109,0,0.328,0.875,122.016,179592,4,002""""High Energic"""
"599,""00iGmtURU30HphVmelmF31"",0.674,0.887,2,-4.797,1,0.0411,0.236,0,0.117,0.829,130.085,180400,4,002""""High Energic"""
"600,""5rl1BenQ0OzGwlpeeELANt"",0.305,0.611,0,-4.04,1,0.0314,0.612,0,0.311,0.27,135.078,184000,4,002""""Low Enerjic"""
"601,""4Vu8wdcXr0G0iEmxRuJhUH"",0.792,0.68,2,-8.383,0,0.0503,0.396,0,0.2,0.922,126.092,187066,4,002""""Low Enerjic"""
"602,""5UPDCiTq4ewX0mYRGhH2HF"",0.464,0.416,7,-9.902,1,0.044,0.633,5.57e-06,0.0812,0.259,129.874,241120,4,002""""Low Enerjic"""
"603,""5Wuo6QOB41oIC4qVVteZ4O"",0.574,0.874,2,-6.507,1,0.0416,0.00204,0,0.309,0.76,140.045,182067,3,002""""High Energic"""
"604,""2byZAXWOqDx3w8suK3btui"",0.572,0.95,11,-3.784,0,0.042,0.059,0.000225,0.195,0.798,124.017,177213,4,2001,""High Energic"""
"605,""10p0nLnAzyyVr4YWxaSerl"",0.358,0.471,0,-7.411,1,0.0275,0.655,0,0.173,0.162,94.92,169973,3,2001,""Low Enerjic"""
"606,""61D1m29pzgETo2L1yxvYSH"",0.582,0.965,11,-4.15,0,0.0808,0.00915,0,0.515,0.421,130.015,179787,4,2001,""High Energic"""
"607,""7mx6IZujrnfHLBmqcIOxIe"",0.727,0.859,10,-6.678,1,0.0508,0.0526,0,0.0714,0.554,108.04,181333,4,2001,""Energic"""
"608,""0dIaYiwgjDbEagTfViXBhO"",0.736,0.86,5,-5.939,0,0.0548,0.0224,2.98e-06,0.037,0.409,108.023,181333,4,2001,""Energic"""
"609,""43xnj7HZ8t5dGqbOC3WzVn"",0.601,0.864,1,-2.635,0,0.0383,0.0608,0,0.243,0.561,136.961,187093,4,2001,""High Energic"""
"610,""3G9HeRXCvEmn0KIjnbjWVO"",0.631,0.85,1,-4.689,0,0.0339,0.052,0,0.0942,0.69,136.904,185427,4,2001,""Energic"""
"611,""2TumtigUX7Z0RCiBlFT8YL"",0.682,0.933,9,-5.758,0,0.0809,0.144,0,0.0467,0.611,125.93,176667,4,2001,""High Energic"""
"612,""44MRiCECrwmTehbleV831v"",0.538,0.773,5,-7.029,1,0.143,0.302,0.00208,0.134,0.328,120.053,177880,4,2001,""Energic"""
"613,""2nhY8qimED269sup4XzyaA"",0.646,0.874,9,-6.41,1,0.0489,0.303,0,0.216,0.87,124.017,180465,4,2001,""High Energic"""
"614,""5IM7R4kdvVPUQ2bDhm9Yvp"",0.359,0.689,8,-4.539,1,0.0348,0.608,3.83e-06,0.351,0.309,150.698,179533,4,2001,""Low Enerjic"""
"615,""2ISmtYqAfrIhZIEWWImTjU"",0.484,0.477,9,-6.953,1,0.0284,0.626,0,0.0987,0.107,125.789,184147,4,2001,""Low Enerjic"""
"616,""5rBCrCzSt9kAsvfr3DwCHR"",0.573,0.982,11,-3.627,1,0.103,0.267,9.68e-06,0.296,0.574,137.035,186747,4,2001,""High Energic"""
"617,""02AK9DE6ttEbcFxMOim4YZ"",0.762,0.727,10,-7.329,0,0.065,0.11,0,0.141,0.873,120.002,198800,4,2001,""Low Enerjic"""
"618,""3XJ8YC4wks6m14Jy2p6QNQ"",0.712,0.949,9,-4.987,1,0.19,0.502,0,0.256,0.81,153.017,180533,4,2001,""High Energic"""
"619,""1jtUpwq0JWQGBArtSy0yvw"",0.613,0.829,0,-5.177,1,0.0546,0.23,0,0.097,0.83,90.04,185853,4,2001,""Energic"""
"620,""4v2RaPHSsTvNkggw3RqyeT"",0.745,0.839,2,-5.405,1,0.0532,0.271,1.89e-05,0.0985,0.807,104.023,185067,4,2000,""Energic"""
"621,""33frkbGSt6bbfj2Nqo9i1p"",0.738,0.824,2,-5.238,1,0.0536,0.258,4.23e-05,0.286,0.795,104.032,183493,4,2000,""Energic"""
"622,""6Tf3FCVDL3qDM7IiBjUZh6"",0.651,0.904,1,-4.103,1,0.0383,0.0249,0.000103,0.184,0.966,105.085,178233,4,2000,""High Energic"""
"623,""50bgdbemfrXuwHiYhcQ1HQ"",0.651,0.904,1,-4.103,1,0.0383,0.0249,0.000103,0.184,0.966,105.085,178233,4,2000,""High Energic"""
"624,""4R2tCloerHegAfPWjR3o7d"",0.547,0.84,5,-6.98,1,0.0389,0.0934,6.74e-05,0.16,0.619,135.258,186018,4,2000,""Energic"""
"625,""0RsXDTuwqJPeWOWDX0acHk"",0.553,0.865,5,-6.117,1,0.042,0.0957,3.66e-05,0.158,0.569,135.201,185933,4,2000,""High Energic"""
"626,""40Ql1rH5Tp748yNKXmg4QZ"",0.489,0.841,2,-6.964,1,0.0474,0.00211,0,0.269,0.753,145.452,176147,4,2000,""Energic"""
"627,""27L4okgASeyUAzZ7etleyQ"",0.534,0.85,7,-3.004,0,0.0613,0.0539,1.7e-06,0.278,0.47,122.798,182813,4,2000,""Energic"""
"628,""7jajK2dubhCHqQJqdaQZlh"",0.577,0.607,7,-6.818,1,0.0265,0.338,0,0.168,0.408,114.717,188067,4,2000,""Low Enerjic"""
"629,""4Ngtct85sXmayXB5Ga7CuK"",0.712,0.815,7,-6.28,1,0.0948,0.345,0,0.058,0.524,105.953,182787,4,2000,""Energic"""
"630,""6GViWczPtH2ky3RBYycDhI"",0.656,0.907,11,-3.985,1,0.0299,0.319,0,0.0849,0.926,105,183280,4,2000,""High Energic"""
"631,""4bBImJN8pJkx3axY7ECpUg"",0.693,0.87,8,-9.059,1,0.0277,0.31,0,0.461,0.492,132.06,167813,4,2000,""High Energic"""
"632,""2BMOV8UZtc6Ex04SEXW54j"",0.731,0.931,0,-5.799,1,0.06,0.121,0,0.364,0.917,118.004,211800,4,2000,""High Energic"""
"633,""05iJ0sJX3yiLBvtBFODkC9"",0.449,0.556,4,-8.241,0,0.0395,0.669,0,0.568,0.278,77.547,204373,4,2000,""Low Enerjic"""
"634,""5GFUT8pfrK4umc8KA6cFoL"",0.596,0.692,7,-5.993,0,0.0364,0.028,0.000204,0.292,0.459,158.167,232427,4,2000,""Low Enerjic"""
"635,""2k3Y97ETwFLIeQwWQG0pkC"",0.495,0.841,2,-7.019,1,0.047,0.00174,0,0.1,0.751,145.454,177333,4,2000,""Energic"""