"","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"1","5uyGQAXeaYJ7X7FcN8JJiq",0.653,0.468,0,-7.568,0,0.0486,0.489,0,0.21,0.688,126.851,214060,4,"spotify:track:5uyGQAXeaYJ7X7FcN8JJiq","https://api.spotify.com/v1/audio-analysis/5uyGQAXeaYJ7X7FcN8JJiq"
"2","5Y3ZTBwRNrgj3AlXYASvDe",0.83,0.515,6,-5.942,0,0.424,0.129,0,0.1,0.692,95.209,222329,4,"spotify:track:5Y3ZTBwRNrgj3AlXYASvDe","https://api.spotify.com/v1/audio-analysis/5Y3ZTBwRNrgj3AlXYASvDe"
"3","7wGoVu4Dady5GV0Sv4UIsx",0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,218320,4,"spotify:track:7wGoVu4Dady5GV0Sv4UIsx","https://api.spotify.com/v1/audio-analysis/7wGoVu4Dady5GV0Sv4UIsx"
"4","06LPhxTcRbh2vJb8vMUkwE",0.752,0.701,11,-4.977,0,0.0414,0.00375,0,0.0398,0.536,109.036,182752,4,"spotify:track:06LPhxTcRbh2vJb8vMUkwE","https://api.spotify.com/v1/audio-analysis/06LPhxTcRbh2vJb8vMUkwE"
"5","5dLtu0lS5pP9ivMerk3uMA",0.761,0.431,9,-13.207,0,0.0969,0.374,0.00309,0.112,0.327,119.991,196000,4,"spotify:track:5dLtu0lS5pP9ivMerk3uMA","https://api.spotify.com/v1/audio-analysis/5dLtu0lS5pP9ivMerk3uMA"
"6","3lPrs1fylHXjPPfSioDXDg",0.678,0.767,5,-5.434,0,0.0288,0.538,4.2e-05,0.544,0.741,143.982,205798,4,"spotify:track:3lPrs1fylHXjPPfSioDXDg","https://api.spotify.com/v1/audio-analysis/3lPrs1fylHXjPPfSioDXDg"
"7","5BHOZB8ioHOsQn0JhtoK0O",0.642,0.877,6,-8.4,0,0.0831,0.032,0.0869,0.0252,0.814,161.936,131852,4,"spotify:track:5BHOZB8ioHOsQn0JhtoK0O","https://api.spotify.com/v1/audio-analysis/5BHOZB8ioHOsQn0JhtoK0O"
"8","2ekn2ttSfGqwhhate0LSR0",0.771,0.696,9,-6.258,0,0.0755,0.00256,9.71e-06,0.179,0.656,116.054,208827,4,"spotify:track:2ekn2ttSfGqwhhate0LSR0","https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0"
"9","790uCrQ2QZsygES86yb6Uf",0.559,0.838,5,-4.861,1,0.0536,0.141,0,0.292,0.393,95.04,193263,4,"spotify:track:790uCrQ2QZsygES86yb6Uf","https://api.spotify.com/v1/audio-analysis/790uCrQ2QZsygES86yb6Uf"
"10","3xtNRxaUY785OdDP78yrpG",0.664,0.422,4,-11.206,0,0.0413,0.21,0.00485,0.0968,0.206,194.014,247423,4,"spotify:track:3xtNRxaUY785OdDP78yrpG","https://api.spotify.com/v1/audio-analysis/3xtNRxaUY785OdDP78yrpG"
"11","0R0o8uOkDz40XsR6uwThfQ",0.788,0.497,11,-10.964,0,0.151,0.37,4.5e-06,0.0939,0.339,130.02,222928,4,"spotify:track:0R0o8uOkDz40XsR6uwThfQ","https://api.spotify.com/v1/audio-analysis/0R0o8uOkDz40XsR6uwThfQ"
"12","0ofbQMrRDsUaVKq2mGLEAb",0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,216897,4,"spotify:track:0ofbQMrRDsUaVKq2mGLEAb","https://api.spotify.com/v1/audio-analysis/0ofbQMrRDsUaVKq2mGLEAb"
"13","4JWAN1SBE6r2PHbXTHzQNx",0.702,0.653,0,-6.145,0,0.0254,0.383,0.00939,0.212,0.544,104.987,211920,4,"spotify:track:4JWAN1SBE6r2PHbXTHzQNx","https://api.spotify.com/v1/audio-analysis/4JWAN1SBE6r2PHbXTHzQNx"
"14","7gPMdD5iUC8i3LsFxr01jw",0.484,0.519,5,-6.273,0,0.158,0.659,0,0.229,0.464,183.578,262113,4,"spotify:track:7gPMdD5iUC8i3LsFxr01jw","https://api.spotify.com/v1/audio-analysis/7gPMdD5iUC8i3LsFxr01jw"
"15","1j4kHkkpqZRBwE0A4CN4Yv",0.258,0.437,11,-6.593,0,0.039,0.101,1.27e-06,0.106,0.0967,180.043,239000,4,"spotify:track:1j4kHkkpqZRBwE0A4CN4Yv","https://api.spotify.com/v1/audio-analysis/1j4kHkkpqZRBwE0A4CN4Yv"
"16","6Ld3bnYoP3JnmHMbtqMXYY",0.607,0.688,4,-7.814,0,0.108,0.222,1.23e-06,0.205,0.404,91.06,282760,4,"spotify:track:6Ld3bnYoP3JnmHMbtqMXYY","https://api.spotify.com/v1/audio-analysis/6Ld3bnYoP3JnmHMbtqMXYY"
"17","7EmGUiUaOSGDnUUQUDrOXC",0.715,0.802,11,-4.647,0,0.0394,0.139,0,0.177,0.327,124.989,197993,4,"spotify:track:7EmGUiUaOSGDnUUQUDrOXC","https://api.spotify.com/v1/audio-analysis/7EmGUiUaOSGDnUUQUDrOXC"
"18","3hdXIz9eY9u5QoEUkBs5yN",0.796,0.57,4,-8.314,0,0.208,0.529,0.0249,0.116,0.551,140.035,207009,4,"spotify:track:3hdXIz9eY9u5QoEUkBs5yN","https://api.spotify.com/v1/audio-analysis/3hdXIz9eY9u5QoEUkBs5yN"
"19","5m0xKFMim80XzJ1HM0IBwW",0.676,0.875,0,-6.746,1,0.0495,0.265,0,0.146,0.969,95.978,191031,4,"spotify:track:5m0xKFMim80XzJ1HM0IBwW","https://api.spotify.com/v1/audio-analysis/5m0xKFMim80XzJ1HM0IBwW"
"20","1JvUmKSl9Mg6mQnmbjLYyz",0.824,0.708,1,-5.836,0,0.201,0.00858,0,0.15,0.522,157.967,248786,4,"spotify:track:1JvUmKSl9Mg6mQnmbjLYyz","https://api.spotify.com/v1/audio-analysis/1JvUmKSl9Mg6mQnmbjLYyz"
"21","77JBSUsrRRPsmtxNKjB2Fx",0.703,0.729,5,-4.303,1,0.029,0.565,1.08e-06,0.125,0.933,100.032,195387,4,"spotify:track:77JBSUsrRRPsmtxNKjB2Fx","https://api.spotify.com/v1/audio-analysis/77JBSUsrRRPsmtxNKjB2Fx"
"22","2qM7yVNhMjZGVvXhPQ5TFS",0.688,0.589,0,-6.346,1,0.0264,0.0096,0.000188,0.62,0.821,109.035,236302,4,"spotify:track:2qM7yVNhMjZGVvXhPQ5TFS","https://api.spotify.com/v1/audio-analysis/2qM7yVNhMjZGVvXhPQ5TFS"
"23","7qiZfU4dY1lWllzX7mPBI3",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713,4,"spotify:track:7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3"
"24","43ZyHQITOjhciSUUNPVRHc",0.936,0.523,5,-6.71,1,0.0597,0.239,0,0.117,0.699,119.889,124056,4,"spotify:track:43ZyHQITOjhciSUUNPVRHc","https://api.spotify.com/v1/audio-analysis/43ZyHQITOjhciSUUNPVRHc"
"25","2PYUMHjLGRwYw4JEHlvMRu",0.673,0.805,7,-5.248,1,0.0362,0.0293,0.125,0.293,0.358,105.017,260692,4,"spotify:track:2PYUMHjLGRwYw4JEHlvMRu","https://api.spotify.com/v1/audio-analysis/2PYUMHjLGRwYw4JEHlvMRu"
"26","0tKcYR2II1VCQWT79i5NrW",0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,187147,4,"spotify:track:0tKcYR2II1VCQWT79i5NrW","https://api.spotify.com/v1/audio-analysis/0tKcYR2II1VCQWT79i5NrW"
"27","4iLqG9SeJSnt0cSPICSjxv",0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,211475,4,"spotify:track:4iLqG9SeJSnt0cSPICSjxv","https://api.spotify.com/v1/audio-analysis/4iLqG9SeJSnt0cSPICSjxv"
"28","0CcQNd8CINkwQfe1RDtGV6",0.779,0.787,10,-4.305,0,0.108,0.0524,0,0.14,0.708,124.982,204347,4,"spotify:track:0CcQNd8CINkwQfe1RDtGV6","https://api.spotify.com/v1/audio-analysis/0CcQNd8CINkwQfe1RDtGV6"
"29","045FwWlfQeVoaCNDvShp7m",0.758,0.783,2,-4.583,0,0.0652,0.0256,0,0.104,0.61,97.993,201429,4,"spotify:track:045FwWlfQeVoaCNDvShp7m","https://api.spotify.com/v1/audio-analysis/045FwWlfQeVoaCNDvShp7m"
"30","1bhUWB0zJMIKr9yVPrkEuI",0.587,0.299,8,-7.365,1,0.0263,0.779,0,0.123,0.356,94.992,259550,3,"spotify:track:1bhUWB0zJMIKr9yVPrkEuI","https://api.spotify.com/v1/audio-analysis/1bhUWB0zJMIKr9yVPrkEuI"
"31","71ePQycEsAdBm53GlnLyiO",0.451,0.232,2,-12.438,0,0.0279,0.809,0,0.11,0.248,96.9,255249,3,"spotify:track:71ePQycEsAdBm53GlnLyiO","https://api.spotify.com/v1/audio-analysis/71ePQycEsAdBm53GlnLyiO"
"32","6qkXhA5mVvG1DLyliRS1Yf",0.696,0.6,6,-6.287,0,0.207,0.301,2.94e-06,0.0851,0.962,80.019,231008,4,"spotify:track:6qkXhA5mVvG1DLyliRS1Yf","https://api.spotify.com/v1/audio-analysis/6qkXhA5mVvG1DLyliRS1Yf"
"33","23KSyhPMqyUVrrLo300YiW",0.567,0.626,7,-9.059,0,0.0519,0.219,0.966,0.108,0.625,90.027,192542,4,"spotify:track:23KSyhPMqyUVrrLo300YiW","https://api.spotify.com/v1/audio-analysis/23KSyhPMqyUVrrLo300YiW"
"34","3CPBzUohQI0fVoFFMSZouO",0.474,0.238,1,-9.514,0,0.0448,0.932,9.87e-05,0.115,0.391,94.496,277980,4,"spotify:track:3CPBzUohQI0fVoFFMSZouO","https://api.spotify.com/v1/audio-analysis/3CPBzUohQI0fVoFFMSZouO"
"35","1KZ2GIHODjEmMoEGUcgZKB",0.592,0.677,9,-7.899,0,0.208,0.429,0,0.0781,0.679,167.743,211127,4,"spotify:track:1KZ2GIHODjEmMoEGUcgZKB","https://api.spotify.com/v1/audio-analysis/1KZ2GIHODjEmMoEGUcgZKB"
"36","1BSsv8bVGdxyvW0NPiZy1A",0.736,0.659,8,-6.509,1,0.0373,0.104,0.00141,0.147,0.538,97.953,180581,4,"spotify:track:1BSsv8bVGdxyvW0NPiZy1A","https://api.spotify.com/v1/audio-analysis/1BSsv8bVGdxyvW0NPiZy1A"
"37","1anxoJyGm5QOWpPtDkXIfc",0.855,0.58,1,-8.925,0,0.117,0.647,0.000402,0.11,0.391,129.917,299091,4,"spotify:track:1anxoJyGm5QOWpPtDkXIfc","https://api.spotify.com/v1/audio-analysis/1anxoJyGm5QOWpPtDkXIfc"
"38","58aGvhMxUHn88sbJpirQ1T",0.734,0.675,5,-5.611,0,0.249,0.741,3.93e-05,0.117,0.817,102.153,198268,4,"spotify:track:58aGvhMxUHn88sbJpirQ1T","https://api.spotify.com/v1/audio-analysis/58aGvhMxUHn88sbJpirQ1T"
"39","2rb5MvYT7ZIxbKW5hfcHx8",0.543,0.677,11,-4.915,0,0.0993,0.0148,6.21e-06,0.13,0.294,103.809,189440,4,"spotify:track:2rb5MvYT7ZIxbKW5hfcHx8","https://api.spotify.com/v1/audio-analysis/2rb5MvYT7ZIxbKW5hfcHx8"
"40","0cJ7GPiXfc6nF8gkJHnDu9",0.56,0.414,10,-7.625,0,0.0254,0.878,0.00724,0.0811,0.248,81.026,229960,4,"spotify:track:0cJ7GPiXfc6nF8gkJHnDu9","https://api.spotify.com/v1/audio-analysis/0cJ7GPiXfc6nF8gkJHnDu9"
"41","3SiNhRfBah30npNwyaoS22",0.653,0.581,7,-9.164,1,0.0436,0.279,0,0.25,0.735,87.003,215172,4,"spotify:track:3SiNhRfBah30npNwyaoS22","https://api.spotify.com/v1/audio-analysis/3SiNhRfBah30npNwyaoS22"
"42","1EPgODCdz5rApl9naW8Q2r",0.652,0.934,2,-5.92,0,0.0835,0.0167,0,0.107,0.579,127.01,252009,4,"spotify:track:1EPgODCdz5rApl9naW8Q2r","https://api.spotify.com/v1/audio-analysis/1EPgODCdz5rApl9naW8Q2r"
"43","3hBBKuWJfxlIlnd9QFoC8k",0.795,0.615,5,-5.211,0,0.0671,0.0786,2.98e-06,0.0855,0.393,110.009,199849,4,"spotify:track:3hBBKuWJfxlIlnd9QFoC8k","https://api.spotify.com/v1/audio-analysis/3hBBKuWJfxlIlnd9QFoC8k"
"44","0GdTnku9cg03CkrJYwHuk3",0.66,0.707,7,-9.096,1,0.0526,0.0943,0.000769,0.0834,0.736,121.008,249174,4,"spotify:track:0GdTnku9cg03CkrJYwHuk3","https://api.spotify.com/v1/audio-analysis/0GdTnku9cg03CkrJYwHuk3"
"45","32DGGj6KlNuBr6WaqRxpxi",0.849,0.581,1,-5.243,0,0.0767,0.189,3.61e-06,0.0805,0.779,110.008,198237,4,"spotify:track:32DGGj6KlNuBr6WaqRxpxi","https://api.spotify.com/v1/audio-analysis/32DGGj6KlNuBr6WaqRxpxi"
"46","2jP6roPokls61urF4ggwdF",0.299,0.572,2,-8.555,1,0.037,0.0449,2.14e-06,0.16,0.2,103.845,195698,3,"spotify:track:2jP6roPokls61urF4ggwdF","https://api.spotify.com/v1/audio-analysis/2jP6roPokls61urF4ggwdF"
"47","3EfugazgSddQvzZpkof5I4",0.698,0.882,4,-3.078,0,0.0863,0.127,0,0.15,0.445,106.083,200105,4,"spotify:track:3EfugazgSddQvzZpkof5I4","https://api.spotify.com/v1/audio-analysis/3EfugazgSddQvzZpkof5I4"
"48","2j69gw8fSyTDksf3glQaCH",0.652,0.508,0,-11.916,0,0.0308,0.234,0.532,0.144,0.222,92.96,276000,4,"spotify:track:2j69gw8fSyTDksf3glQaCH","https://api.spotify.com/v1/audio-analysis/2j69gw8fSyTDksf3glQaCH"
"49","3cFsmM51N5zMAuu1nNY4Tw",0.741,0.891,7,-2.824,1,0.119,0.0437,0,0.256,0.449,102.002,221176,4,"spotify:track:3cFsmM51N5zMAuu1nNY4Tw","https://api.spotify.com/v1/audio-analysis/3cFsmM51N5zMAuu1nNY4Tw"
"50","3SqvR3HYLlCTYzbDXJ52OC",0.433,0.724,5,-6.126,0,0.0372,0.1,0,0.0918,0.689,174.006,268105,4,"spotify:track:3SqvR3HYLlCTYzbDXJ52OC","https://api.spotify.com/v1/audio-analysis/3SqvR3HYLlCTYzbDXJ52OC"
"51","6VpQdig9pdpTSIFItgkJV5",0.643,0.709,0,-4.343,1,0.0733,0.145,0.000449,0.115,0.264,129.961,227088,4,"spotify:track:6VpQdig9pdpTSIFItgkJV5","https://api.spotify.com/v1/audio-analysis/6VpQdig9pdpTSIFItgkJV5"
"52","2QD387ZxhUxTJQYLe11w9D",0.707,0.712,7,-5.564,0,0.0471,0.378,0,0.0862,0.408,126.008,191628,4,"spotify:track:2QD387ZxhUxTJQYLe11w9D","https://api.spotify.com/v1/audio-analysis/2QD387ZxhUxTJQYLe11w9D"
"53","2QD387ZxhUxTJQYLe11w9D",0.707,0.712,7,-5.564,0,0.0471,0.378,0,0.0862,0.408,126.008,191628,4,"spotify:track:2QD387ZxhUxTJQYLe11w9D","https://api.spotify.com/v1/audio-analysis/2QD387ZxhUxTJQYLe11w9D"
"54","2QD387ZxhUxTJQYLe11w9D",0.707,0.712,7,-5.564,0,0.0471,0.378,0,0.0862,0.408,126.008,191628,4,"spotify:track:2QD387ZxhUxTJQYLe11w9D","https://api.spotify.com/v1/audio-analysis/2QD387ZxhUxTJQYLe11w9D"
